,SARSA,MCCONTROL,QLEARNING,DQLEARNING
151,0.997,-2.000000000000001,0.997,-2.000000000000001
152,1.0,1.0,1.0,1.0
153,1.0,1.0,1.0,1.0
154,-2.000000000000001,0.99,-2.000000000000001,-2.000000000000001
155,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
156,-2.000000000000001,0.99,-2.000000000000001,-2.000000000000001
157,0.999,0.999,0.999,0.999
158,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
159,0.999,0.999,0.999,0.999
160,0.999,-2.000000000000001,0.999,0.999
161,0.984,-2.000000000000001,0.99,-2.000000000000001
162,0.998,0.998,0.998,0.998
163,0.995,0.993,0.995,-2.000000000000001
164,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
165,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
166,-2.000000000000001,0.989,-2.000000000000001,-2.000000000000001
167,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
168,0.989,0.991,-2.000000000000001,-2.000000000000001
169,0.996,0.996,0.996,0.996
170,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
171,0.997,0.995,0.997,0.997
172,-2.000000000000001,0.994,0.992,-2.000000000000001
173,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
174,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
175,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
176,-2.000000000000001,0.989,-2.000000000000001,-2.000000000000001
177,-2.000000000000001,0.99,-2.000000000000001,-2.000000000000001
178,-2.000000000000001,0.992,0.993,-2.000000000000001
179,-2.000000000000001,0.989,-2.000000000000001,-2.000000000000001
180,0.998,0.998,0.998,0.998
181,-2.000000000000001,0.995,0.995,-2.000000000000001
182,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
183,-2.000000000000001,0.987,-2.000000000000001,-2.000000000000001
184,0.999,0.999,0.999,0.999
185,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
186,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
187,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
188,-2.000000000000001,0.987,-2.000000000000001,-2.000000000000001
189,0.994,-2.000000000000001,0.994,-2.000000000000001
190,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
191,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
192,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
193,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
194,1.0,1.0,1.0,1.0
195,1.0,1.0,1.0,1.0
196,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
197,0.994,0.994,0.994,-2.000000000000001
198,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
199,-2.000000000000001,0.995,0.995,-2.000000000000001
200,-2.000000000000001,-2.000000000000001,0.991,-2.000000000000001
201,0.996,0.996,0.996,0.996
202,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
203,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
204,0.991,0.989,0.991,-2.000000000000001
205,0.997,0.997,0.997,-2.000000000000001
206,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
207,-2.000000000000001,0.991,-2.000000000000001,-2.000000000000001
208,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
209,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
210,0.995,-2.000000000000001,0.995,-2.000000000000001
211,0.999,0.999,0.999,0.999
212,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
213,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
214,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
215,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
216,-2.000000000000001,0.994,0.994,-2.000000000000001
217,0.997,0.997,0.997,0.997
218,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
219,-2.000000000000001,0.993,0.995,-2.000000000000001
220,0.999,0.999,0.999,0.999
221,0.998,0.998,0.998,0.998
222,0.996,0.996,0.996,-2.000000000000001
223,0.995,0.995,0.995,-2.000000000000001
224,-2.000000000000001,0.991,-2.000000000000001,-2.000000000000001
225,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
226,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
227,0.991,0.993,-2.000000000000001,-2.000000000000001
228,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
229,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
230,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
231,0.998,0.998,0.998,0.998
232,-2.000000000000001,-2.000000000000001,0.99,-2.000000000000001
233,0.998,0.998,0.998,0.998
234,1.0,1.0,1.0,1.0
235,0.997,0.997,0.997,-2.000000000000001
236,-2.000000000000001,0.994,0.994,-2.000000000000001
237,0.994,0.99,0.994,-2.000000000000001
238,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
239,0.993,0.993,0.995,-2.000000000000001
240,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
241,0.995,0.995,0.995,-2.000000000000001
242,0.995,0.995,0.995,-2.000000000000001
243,0.993,0.993,0.995,-2.000000000000001
244,-2.000000000000001,-2.000000000000001,0.988,-2.000000000000001
245,0.999,0.999,0.999,0.999
246,-2.000000000000001,0.987,-2.000000000000001,-2.000000000000001
247,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
248,-2.000000000000001,0.996,0.996,-2.000000000000001
249,0.996,0.996,0.996,-2.000000000000001
250,0.991,0.994,0.996,0.996
251,-2.000000000000001,0.992,-2.000000000000001,-2.000000000000001
252,0.997,0.997,0.997,-2.000000000000001
253,0.994,-2.000000000000001,0.996,-2.000000000000001
254,-2.000000000000001,0.991,0.991,-2.000000000000001
255,-2.000000000000001,0.974,-2.000000000000001,-2.000000000000001
256,0.994,-2.000000000000001,0.994,-2.000000000000001
257,0.999,0.999,0.999,0.999
258,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
259,0.994,0.992,0.994,-2.000000000000001
260,-2.000000000000001,0.993,-2.000000000000001,0.993
261,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
262,-2.000000000000001,0.989,-2.000000000000001,-2.000000000000001
263,0.997,0.997,0.997,0.997
264,-2.000000000000001,0.985,-2.000000000000001,-2.000000000000001
265,0.996,0.996,0.996,0.996
266,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
267,0.999,0.999,0.999,0.999
268,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
269,-2.000000000000001,0.993,0.993,-2.000000000000001
270,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
271,0.999,0.999,0.999,0.999
272,-2.000000000000001,-1.006,-2.000000000000001,-2.000000000000001
273,1.0,1.0,1.0,1.0
274,-2.000000000000001,-2.000000000000001,0.996,-2.000000000000001
275,0.993,-2.000000000000001,0.993,-2.000000000000001
276,0.997,0.997,0.997,0.997
277,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
278,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
279,-2.000000000000001,-2.000000000000001,0.994,-2.000000000000001
280,-2.000000000000001,0.992,-2.000000000000001,-2.000000000000001
281,-2.000000000000001,0.995,0.995,-2.000000000000001
282,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
283,-2.000000000000001,0.986,-2.000000000000001,-2.000000000000001
284,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
285,-2.000000000000001,-2.000000000000001,0.996,-2.000000000000001
286,0.992,0.994,0.994,-2.000000000000001
287,0.997,0.995,0.997,0.997
288,0.997,0.997,0.997,-2.000000000000001
289,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
290,0.995,0.995,0.997,0.997
291,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
292,-2.000000000000001,0.985,-2.000000000000001,-2.000000000000001
293,0.997,0.997,0.997,-2.000000000000001
294,0.999,0.999,0.999,0.999
295,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
296,0.993,0.993,0.993,-2.000000000000001
297,0.996,-2.000000000000001,0.996,0.994
298,0.995,0.995,0.995,-2.000000000000001
299,-2.000000000000001,0.992,-2.000000000000001,-2.000000000000001
300,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
301,0.997,-2.000000000000001,0.997,0.997
302,0.998,0.998,0.998,0.998
303,0.995,0.995,0.995,-2.000000000000001
304,0.995,0.993,0.995,-2.000000000000001
305,-2.000000000000001,0.99,0.992,-2.000000000000001
306,1.0,1.0,1.0,1.0
307,0.998,0.994,0.998,0.998
308,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
309,-2.000000000000001,0.996,0.996,0.996
310,0.99,-1.0,-2.000000000000001,-2.000000000000001
311,0.994,-2.000000000000001,0.994,-2.000000000000001
312,-2.000000000000001,0.986,0.994,-2.000000000000001
313,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
314,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
315,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
316,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
317,1.0,1.0,1.0,1.0
318,-2.000000000000001,0.989,0.993,-2.000000000000001
319,0.999,0.999,0.999,0.999
320,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
321,0.992,-1.0,-2.000000000000001,-2.000000000000001
322,0.997,0.997,0.997,0.997
323,0.999,0.999,0.999,0.999
324,0.988,-2.000000000000001,-2.000000000000001,-2.000000000000001
325,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
326,-2.000000000000001,-2.000000000000001,0.993,-2.000000000000001
327,0.996,0.996,0.996,-2.000000000000001
328,-2.000000000000001,-2.000000000000001,0.995,-2.000000000000001
329,0.998,0.998,0.998,-2.000000000000001
330,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
331,1.0,1.0,1.0,1.0
332,-2.000000000000001,-1.004,-2.000000000000001,-2.000000000000001
333,0.997,0.997,0.997,-2.000000000000001
334,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
335,1.0,1.0,1.0,1.0
336,-2.000000000000001,0.988,0.995,-2.000000000000001
337,-2.000000000000001,0.982,-2.000000000000001,-2.000000000000001
338,0.998,0.998,0.998,0.998
339,-2.000000000000001,-1.004,-2.000000000000001,-2.000000000000001
340,0.998,0.998,0.998,0.998
341,0.995,0.995,0.995,-2.000000000000001
342,-2.000000000000001,0.991,0.991,-2.000000000000001
343,0.994,0.994,0.994,-2.000000000000001
344,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
345,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
346,0.999,0.999,0.999,0.999
347,-2.000000000000001,0.987,-2.000000000000001,-2.000000000000001
348,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
349,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
350,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
351,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
352,0.996,0.996,0.996,-2.000000000000001
353,-2.000000000000001,0.996,0.996,-2.000000000000001
354,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
355,-2.000000000000001,-2.000000000000001,0.984,-2.000000000000001
356,0.991,0.993,0.993,-2.000000000000001
357,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
358,-2.000000000000001,-1.003,0.978,-2.000000000000001
359,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
360,-2.000000000000001,-2.000000000000001,0.992,-2.000000000000001
361,0.998,0.998,0.998,0.998
362,1.0,1.0,1.0,1.0
363,0.998,0.998,0.998,0.998
364,-2.000000000000001,-2.000000000000001,0.995,-2.000000000000001
365,0.998,0.996,0.998,0.998
366,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
367,0.995,0.995,0.995,0.993
368,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
369,0.986,-2.000000000000001,-2.000000000000001,-2.000000000000001
370,0.99,0.994,0.994,-2.000000000000001
371,-2.000000000000001,-1.004,-2.000000000000001,-2.000000000000001
372,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
373,-2.000000000000001,0.984,-2.000000000000001,-2.000000000000001
374,0.998,0.998,0.998,0.998
375,0.996,0.996,0.996,0.996
376,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
377,0.998,0.998,0.998,0.998
378,-2.000000000000001,0.996,0.996,-2.000000000000001
379,-2.000000000000001,0.994,0.993,-2.000000000000001
380,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
381,0.994,0.994,0.994,0.994
382,0.998,0.998,0.998,0.998
383,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
384,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
385,-2.000000000000001,0.987,0.993,-2.000000000000001
386,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
387,-2.000000000000001,-1.007,-2.000000000000001,-2.000000000000001
388,0.995,0.995,0.995,-2.000000000000001
389,-2.000000000000001,-2.000000000000001,0.996,-2.000000000000001
390,-2.000000000000001,-2.000000000000001,-1.011,-2.000000000000001
391,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
392,-2.000000000000001,-2.000000000000001,-2.000000000000001,0.99
393,0.995,0.995,0.995,0.995
394,0.997,0.997,0.997,0.997
395,0.996,0.996,0.996,0.996
396,-2.000000000000001,-2.000000000000001,0.99,-2.000000000000001
397,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
398,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
399,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
400,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
401,-2.000000000000001,0.997,0.997,-2.000000000000001
402,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
403,0.999,0.999,0.999,0.999
404,-2.000000000000001,0.986,-2.000000000000001,-2.000000000000001
405,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
406,0.991,0.993,0.993,-2.000000000000001
407,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
408,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
409,0.999,0.998,0.999,0.999
410,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
411,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
412,0.995,0.995,0.995,-2.000000000000001
413,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
414,-2.000000000000001,0.993,-2.000000000000001,-2.000000000000001
415,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
416,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
417,0.995,0.995,0.995,-2.000000000000001
418,-2.000000000000001,0.985,-2.000000000000001,-2.000000000000001
419,0.994,-2.000000000000001,0.995,-2.000000000000001
420,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
421,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
422,0.998,0.998,0.998,0.998
423,0.992,-2.000000000000001,0.992,-2.000000000000001
424,0.998,0.998,0.998,0.998
425,0.997,0.997,0.997,-2.000000000000001
426,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
427,0.998,0.998,0.998,0.998
428,0.999,0.999,0.999,0.999
429,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
430,0.996,0.996,0.996,0.996
431,0.994,-2.000000000000001,0.994,-2.000000000000001
432,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
433,0.995,0.993,0.997,0.997
434,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
435,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
436,0.998,0.998,0.998,0.998
437,0.999,0.999,0.999,0.999
438,1.0,1.0,1.0,1.0
439,0.993,-2.000000000000001,0.993,-2.000000000000001
440,0.993,0.991,-2.000000000000001,-2.000000000000001
441,-2.000000000000001,0.991,-2.000000000000001,-2.000000000000001
442,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
443,0.99,0.992,-2.000000000000001,-2.000000000000001
444,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
445,0.998,0.998,0.998,0.998
446,-2.000000000000001,0.989,-2.000000000000001,-2.000000000000001
447,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
448,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
449,-2.000000000000001,0.994,0.994,-2.000000000000001
450,-2.000000000000001,-1.004,-2.000000000000001,-2.000000000000001
451,0.999,0.999,0.999,0.999
452,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
453,-2.000000000000001,0.991,-2.000000000000001,-2.000000000000001
454,0.999,-2.000000000000001,0.999,0.999
455,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
456,0.999,0.999,0.999,0.999
457,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
458,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
459,0.995,0.995,0.995,-2.000000000000001
460,-2.000000000000001,0.993,-2.000000000000001,-2.000000000000001
461,-2.000000000000001,0.992,-2.000000000000001,-2.000000000000001
462,-2.000000000000001,0.994,-2.000000000000001,-2.000000000000001
463,1.0,1.0,1.0,1.0
464,-2.000000000000001,0.992,-2.000000000000001,-2.000000000000001
465,-2.000000000000001,0.991,-2.000000000000001,-2.000000000000001
466,0.993,0.993,-2.000000000000001,-2.000000000000001
467,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
468,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
469,0.992,0.994,0.994,-2.000000000000001
470,0.997,0.996,0.997,0.996
471,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
472,-2.000000000000001,0.986,-2.000000000000001,-2.000000000000001
473,-2.000000000000001,0.994,0.994,-2.000000000000001
474,-2.000000000000001,0.989,-2.000000000000001,-2.000000000000001
475,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
476,0.997,0.997,0.997,0.997
477,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
478,1.0,1.0,1.0,1.0
479,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
480,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
481,-2.000000000000001,0.993,0.995,-2.000000000000001
482,0.99,-2.000000000000001,-2.000000000000001,-2.000000000000001
